Item# (SKU),Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Imprint Method 1,Imprint Method 2,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),Packaging,Additional Info,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5,Available Colors,Product Categories,Related Products,Search Keywords
LUGSPTOR,LuggageSpotter,217,"2""h x 3-1/2""w","420D nylon and cushioned for ergonomic support.    Patented inside ID pocket. Hook-and-loop closure.    Actual size is 6""h x 5-1/2""w.",One color imprint,Silkscreen,,17,250,23L x 12W x 17H,,"Protected by US Utility and Design Patent 6,796,002  and D513962S.",250,500,1000,1500,2500,2.39,2.25,1.99,1.79,1.59,C,C,C,C,C,"ORANGE, RED, LIME, BLUE, YELLOW",Lifestyles,"CLRFILE_CL, BSKTBL, ARROW, CLRBRITE_CL, STREABTL, SOLCHRG, SVNUNOCP, SPLSTOTE, SPIRSTPN, SPRINBTL, SILIPOCK, SILICOME, SPINPWBK, SCENRVBR, RLTRVMG, QUENBTL, POWBANK, PRISTMB, SELFCAM, PONZMNBG, PSHPWUSB, SALNTOTE, HANCCKPN, FLIPPORT, GRABUTST, FITNKIT, GO","ergonomic, cushioned, colors, clear, pocket, tangerinetango, vinyl, business, bright, holidaytravel"
LUGSTRAP_CL,Luggage Strap - Closeout,,"1-1/4""h x 2-1/4""w","Heavy duty strap with strong plastic buckle.    Leather-like pocket with ID card.    Expands to 65"".",One color imprint.,Silkscreen,,,,,,,,,,,,,,,,,,,,,,"BLUE, LIME, ORANGE, RED",Lifestyles,"VWINOPN, UNOLED, UNOCCLR, BEVRCDCM, LETHSTPK_CL, FLOATER, LEDTORCK, SONICKL_CL, MICRPHKY, RETRVKL, RIVET, TCHKYCN, MAGNIKL_CL, WHISTLE_CL, QUADCANV, COL3PKATH, JETBKSK, COLKEVPK, RIVALBKS, SHKSDST, METROBK_CL, PEAKBKSK, MEDIASTA, RIBBON, MINICHI, HANSPRAY",
LYMBPOCK,Lycra Mobile Pocket,115,"1-1/2""h x 1-3/4""w","3M sticky mobile pocket.     Mobile pocket wallet convenient storage for business cards, credit cards, and identification.      Adheres to back of mobile device.     Instruction card included.",One color imprint,Silkscreen,,,,,,Black or white imprints only.,150,250,500,1000,2500,2.59,2.49,2.39,2.09,1.99,C,C,C,C,C,"Black, Red, Blue",Techno Trends,"CLAMFXLT, DIAMTMB, CLRTOTBG, TOGOTMB, TROOPTMB, MANHATTB, TURNTMB, NTROBKSK, FLEXFOLD_CL, FFORTCHG, PNKYHY, TWNTBCHG, BRANDCHG, RETROHS, LED17FLH, ULPOWBK, MINWNDFL, RULRCLSI, RETRFLSH, FLSHSTK, NOVLEDFL, PHZRFLSH, 27FLPFRE, BABBUBKG, FLIPBNDG, TRSTRBG, C",
LYNXPEN_CL,Lynx Pen - Closeout,,"5/8""h x 1-3/4""w",Satin colored barrel with metal trim and a large black grip. Retractable mechanism and medium point black refill. Individually polybagged.,One color imprint.,Silkscreen,,,,,Individually polybagged.,There is no set up charge on exact re-orders for writing instruments.,165,,,,,0.67,,,,,C,,,,,,Writing Instruments,"LNZSTPN, GRVGLWLT, OASISBTL, METPBKSK, MEALTOGO, ORBINF, MUTRDVTL, MASTRTL, PAPRNTOT, PNCFLBTL, TOOLARND, IWEARST, KPCLTWL, BUBKEG, UNOMUG, WVEBKPK, RLCPCLBG, DBLTKDS, TALSBKSK_CL, DRAWSWNW, DBLSTBPK, KCMSHBK, PEAKBKSK, CITYLNH, THRDNSTD_CL, CRDLSO, EARME",
MAGNACLP,Magna Clips,168,"1-1/4""h x 3/4""w at top x 3/8""w at bottom",Strong clip and magnet that attaches to most metal surfaces.    Durable textured rubber grip. Individually polybagged.,One color imprint.,Silkscreen,,25,200,15L x 9W x 12H,Individually polybagged.,,250,500,1000,2500,5000,1.49,1.39,1.29,1.15,1.05,C,C,C,C,C,"WHITE, RED, BLUE, GREEN",Workplace,"EXECFLG, EXECNTFL_CL, WRIONCLP_CL, MTYBRITE, MINIATH, MINWNDFL, STYLITE, KLCSTK, 22GRPNGO, GRPGRAN, LNCHBDY, SMPLCKSC, 16SATTMB, GFBXTMB, LCLRJR, CRSCALJR, CRSCALEX, CSTCK, CSTCKS, NEOCLONE, SPRFNBTL, NEOCLTWO, CAMOKONE, 17GEOBTL, RETRAKYR, GLIMMER, SPRTY","cabinet, clip, durable, stacks, strong, magnet, metal, rubber, hanging, filing"
MAGNAJMB,Jumbo Magna Clips,168,"1""h x 1-1/4""w",Strong clip and magnet that attaches to most metal surfaces.    Durable textured rubber grip. Individually polybagged.,One color imprint.,Silkscreen,,21,150,15L x 9W x 12H,Individually polybagged.,,250,500,1000,2500,5000,1.69,1.59,1.53,1.39,1.29,C,C,C,C,C,"Solid White, Red, Blue",Workplace,"TCHKYCN, COLKEVPK, RIVIBAG, EXECBAND, SLKMPNCL, EXMANPNC, RENPENC, PAPRPENC, GESSENBG, CANOODPN, WIDEMES, GOLFBALL, TTLPROV1, CAMOFL, DESKBOX, EXECFLG, TERRNBK, STANRMVR, GFBXTMB, TEMPOPN, QUADCANV, ZIPCOOL, DBLVISN, CATLINEX, CRSCALJR, CERENJR, CRSCALEX,","durable, filing, metal, magnet, hanging, cabinet, clip, rubber, stacks, strong"
MAGNIKL_CL,Magnifier Key Light - Closeout,,"3/4""h x 1""w","Mini plastic light up magnifier key chain. Push button switch with split key ring. Actual size is 2-3/4""h x 1-5/16""w. Individually polybagged.",One color imprint.,Silkscreen,,,,,Individually polybagged.,,150,,,,,1.27,,,,,C,,,,,,Tools,"VWINOPN, UNOLED, UNOCCLR, BEVRCDCM, LETHSTPK_CL, FLOATER, LEDTORCK, SONICKL_CL, MICRPHKY, RETRVKL, RIVET, TCHKYCN, WHISTLE_CL, QUADCANV, COL3PKATH, JETBKSK, COLKEVPK, RIVALBKS, SHKSDST, METROBK_CL, PEAKBKSK, MEDIASTA, RIBBON, MINICHI, HANSPRAY, GRPBOLD, R","magnifiy, key ring, plastic, mini, chain, push, button, light, bright"
MANHATTB,Manhattan Tumbler,,"1-3/4""h x 2-1/2""w",AS double wall tumbler with Tritan  slider lid.    7oz. with lid    10oz. without lid    Clear outer wall    Clear & color stem inner wall    Color twist closure lid,One color imprint.,Silkscreen,,13,24,9L x 18W x 26H,,Not dishwasher safe.,72,144,288,576,1008,5.79,5.55,5.29,5.09,4.99,C,C,C,C,C,"SMOKE, CLEAR, RED, BLUE, AQUA",Drinkware,"GRVGLWLT, NIKISTPN, METPBKSK, TOOLARND, IWEARST, UNOMUG, RLCPCLBG, DBLTKDS, TALSBKSK_CL, DRAWSWNW, KCMSHBK, THRDNSTD_CL, EARMEDIA, WRPITUP, VALETKR, CAPBTLOP, 18HYFLAT, THMGOB25, SILIPINT, ENDUTRIT, SMOOTHMV, PICNIC, STADBLKT, KPCLTWL, LNCHBXST, BRANDCHG,",stpatty15
MANI2GO_CL,Manicure-to-Go - Closeout,,"1""h x 1""w","Compact mini manicure set.    Tools include tweezers, cuticle tool, nail file & nail clippers.    Actual size is 3""h x 2""w.    Individually polybagged.",One color imprint.,Silkscreen,,,,,Bulk. Individually polybagged.,,,,,,,,,,,,,,,,,"RED, LIME",Personal Care,"CLRFILE, 16VOY_CL, SONICKL_CL, TRVSETBG_CL, LETHSTPK_CL, MINIWRIT, SILVHIGH, STCROPNM, TERRNBK, BBLBAU_CL, CAPTVAPN_CL, CLAYPN_CL, CABANAPN_CL, FLOS2GO_CL, HIFIVHI_CL, TEMPOPNW_CL, TEMPOPN_CL, LAPTPSLV_CL, HEARTRE, GLOBE, STRSBL, RIBBON_CL, STAR, KLICKPN_",
MANSALON,Manicure Salon Set,262,"1-1/4""h x 2-1/2""w","New color added!    Compact manicure set includes clippers, nail  scissors, cuticle tool, tweezers and nail file.    Push to open case.    Interior is the same color as outside.    Actual size is 4-3/4""h x 4""w.    Individually polybagged.",One color imprint.,Silkscreen,,31,144,10L x 23W x 14H,Individually polybagged.,,100,250,500,1000,2500,4.09,3.89,3.69,3.49,3.29,C,C,C,C,C,"NATURAL, BLACK, BLUE, PINK",Personal Care,"11CAFEMG, 16CORTMB, 16ORBTMB, ALCHMYPN, HANSPRAY, MAGNAJMB, MEDIASTA, RIVET, SOLARPN, FLIPBNDG, ELRYKYLT, FLIPPORT, FOURPWBK, HISTNTOT, JUPITPN, LYMBPOCK, METPBKSK, ORBINF, PONZMNBG, SELFCAM, SILICOME, TRIBSPK, ULADPTR, ULPOWBK, WILSNGLS, USBTWIST, THMGOB",
MARCOPN,Marco Pen,89,"3/8""h x 1-1/2""w",Coordinating grip and clip with color accent plunger and dimpled rubber grip.    Medium point black refill.,One color imprint.,Silkscreen,,11,500,7L x 13W x 12H,,There is no set up charge on exact re-orders for writing instruments.,500,750,1000,2500,5000,0.58,0.55,0.49,0.44,0.39,C,C,C,C,C,"GREEN, RED, BLUE, BLACK",Writing Instruments,"TRVBKPK, DRAWBKSK, DRAWSPRT, LUGSPTOR, HEARTRE, PENCIL, GLOBE, STRSBL, STAR, FOOTBL3, VALETKR, THMGOB25, THMGOBTL, MESURCUP, SUMMCMBO, SLIDACLP, COLKONE, SUNLOTON, SILISHOT, SILIPINT, SHOEKT, SPECTRA, SHKCLRKT, RLCPCLKT, CLENFTBT, USBCHRM, SUNSPYLB, 20FLA",tangerinetango
MARCOPN_CL,Marco Pen - Closeout,,"3/8""h x 1-1/2""w",Coordinating grip and clip with color accent plunger and dimpled rubber grip.    Medium point black refill.,One color imprint.,Silkscreen,,,,,,There is no set up charge on exact re-orders for writing instruments.,,,,,,,,,,,,,,,,ORANGE,Writing Instruments,"GEMINIPN_CL, GEMINPNS_CL, TEMPOPNW_CL, TONTGLPN_CL, TEMPOPN_CL, KLICKPN_CL, CABANAPN_CL, ASTRA_CL, CAPTVAPN_CL, CRWNGRPT_CL, OCEANPN_CL, TREMEBRT_CL, HANLOTON, NOLAPN_CL, SWAMPJUI, MANSALON, FUSEBOX, MARKITUP_CL, PANAPN_CL, SILNTHI_CL, SKEPNHI_CL, EDISON_",
MARKITUP_CL,Mark it Up Permanent Marker - Closeout,,"3/4""h x 1-3/4""w",Permanent marker with black grip. Cap color matches refill. Individually polybagged.,One color imprint.,Silkscreen,,,,,Individually polybagged,This item requires one day production time for imprinting.  There is no set up charge on exact re-orders for writing instruments.,500,,,,,0.23,,,,,C,,,,,BLACK BARREL/BLACK INK,Writing Instruments,"SUNLOTON, USBTWIST, TRIBSPK, THMGOB25_CL, STYLITE, SUNSTCK, SUNSHDE, WILLTOTE_CL, CEOPEN_CL, KLICKPN_CL, LAPTPSLV_CL, USBLINXS_CL, TEMPRPCK, USBCHRM, MYSTLPN, HANLOTON, NOLAPN_CL, SWAMPJUI, MANSALON, FUSEBOX, PANAPN_CL, MARCOPN_CL, SILNTHI_CL, SKEPNHI_CL,",
MASTRTL,Master Tool,,"Laser Engraved: 3/8""h x 2-1/2""w  Pad Printed: 3/8""h x 2-1/2""w","9 Bit Screwdriver tool set with aluminum barrel and steel bits.    Works well for household uses and features a magnetic holder for bits.    Actual size is 7/8"" h x 5-3/16"" w and comes packaged in a white box.",One laser engraved or color imprint.,Silkscreen,Laser Engraved,23,100,9L x 9W x 6H,,,50,100,250,500,1000,6.85,6.55,6.25,5.75,5.35,C,C,C,C,C,SILVER,Tools,"20INLET, 16CORCLR, RDTRPPR, PONZMNBG, PEAKBKSK, PNKYHY, PNCFLBTL, POWBANK, NVLATBJR, PHNTMFLS, RETRVKL, MUTRDVTL, LNCHBXST, MGNTCLDP, LOLATMBL, MNLNTRL, NVLATBCS, NMDTRAD, MINIWIPE, TPTPTMB, DLXPICCL, UNOCCLR, CMPFRLGT, CARASTRP, WVEBKPK, BTLCAD, CARAKEYR",
MAZECAL_CL,Maze Calculator - Closeout,,"3/8""h x 1-1/2""w","Clear acrylic outer shell calculator on one side and pinball maze game on the other.    Soft rubber 10 key display.    Battery included.    Actual size is 4-5/8""h x 2-1/4""w.    Packaged in white box.",One color imprint.,Silkscreen,,,,,Packaged in white box.,1. This item requires a one day production from time of art approval.  2. Not intended for children under 12.,,,,,,,,,,,,,,,,"WHITE, REFLEX BLUE",Workplace,"VWINOPN, UNOLED, UNOCCLR, BEVRCDCM, LETHSTPK_CL, FLOATER, LEDTORCK, SONICKL_CL, MICRPHKY, RETRVKL, RIVET, TCHKYCN, MAGNIKL_CL, WHISTLE_CL, QUADCANV, COL3PKATH, JETBKSK, COLKEVPK, RIVALBKS, SHKSDST, METROBK_CL, PEAKBKSK, MEDIASTA, RIBBON, MINICHI, HANSPRAY",
MAZEPN,Maze Pen,100,"1""h x 2""w",Contains two metal balls that move through the maze.    Large imprint area.    Medium point black refill.,One color imprint.,Silkscreen,,14,500,12L x 13W x 7H,,There is no set up charge on exact re-orders for writing instruments.,500,750,1000,2500,5000,0.65,0.61,0.57,0.53,0.49,C,C,C,C,C,"LIGHT BLUE, GREEN, RED, WHITE",Writing Instruments,"VELOSTPN, GOLFTEE, CAMOFL, TRADEBDG, CLRBLKBK, 16CORCLR, CERENJR, VIBRNTLP, LGTNLOOK, PENCASE, PENPCH, USBFOLD, HATCHBAG, CARRYCLR, WIDEMES, GOLFBALL, LNCHBDY, WATMEDPC, VWINOPN, CLPSAFLS, CYCLONE, FACILTP, 17GEOBTL, HLTHHND, 24AERIAL, EXECFLG, CHRODLUX, ","metal, entertaining"
MEALTOGO,Meals to Go Insulated Carrier,206,"2-1/2""h x 6""w","On the go convenient food carrier with front pocket in 115 non-woven gsm laminate and foil insulation for hot or cold take-out meals, bakery items or picnic and sporting events.     Actual size is 7""h x 14""w and 11& 39;d.     Removable inner bottom suppor",One color imprint,Silkscreen,,22,50,22L x 19W x 16H,,Freezer gel packs recommended for cooling.,50,100,250,500,1000,7.19,6.99,6.69,6.29,5.99,C,C,C,C,C,"Grey, Black/White Stripe",Coolers,"BAYCLTOT, CAPBTLOP, GRABUTST, INSHPTOT, CLRSTYKC, POWBANK, QUENBTL, RLTRVMG, LNZSTPN, PONZMNBG, PSHPWUSB, SALNTOTE, HANCCKPN, FLIPPORT, FITNKIT, GOLFKIT, GADGTLLT, FOURPWBK, GRVGLWLT, LNCHBXST, LCLREX, PALERMEX, OXFRDJOT, LYNXPEN_CL, IRWINEXE, GFBXTMB, PN",
MEDIALNG,Media Lounger,116,"Option 1: 1/2""h x 1-3/4""w   Option 2: 1-3/4""h x 1-3/4""w.","Media lounger holds cell phone, MP3 player or other mobile device in an upright position for easy viewing.    Grip holds device in place.    Flexible mechanism for easy adjusting.    Actual size is 7-3/16""h x 2-5/16""w.    Individually polybagged.",One color imprint,Silkscreen,,28,250,8L x 20W x 15H,Individually polybagged,"1. US Patents D,666,614 and D685,366. Other patents pending.  2. Location  1 is standard imprint.",150,250,500,1000,2500,2.19,2.09,1.99,1.79,1.59,C,C,C,C,C,"WHITE/BLUE, WHITE/RED, WHITE/BLACK, WHITE/FUCHSIA, WHITE/LIME, WHITE/PURPLE, WHITE/NAVY",Techno Trends,"34BUBTVL, CHIAMNTY_CL, TRICRKSW_CL, SLMPKTL_CL, BUSCLGTG, RENPENC, PIGGYBNK, 22FREDOM_CL, HLTHHND, TRVSETBG_CL, CRWNGRPT_CL, NEOCLTWO, CARDFOLI, STKPONKT, PIVTLKR_CL, PLYCLATH, NEOCLONE, MINIATH, MINMESH_CL, ZIPCOOL, 24AERIAL, MINMANCF_CL, EZFILPKT_CL, TE","mediafamily, fallmedialounger, medmania"
MEDIASTA,Media Station,116,"3/4""h x 2-1/4""w","Hangs between a wall outlet and a battery charger.    Rubber grip pad holds media device while charging.    Ships flat and easily folds.    Actual size when open is 4-1/8""h x 3-3/4""w.    Individually polybagged.",One color imprint.,Silkscreen,,27,250,19L x 12W x 13H,Individually polybagged.,Patent Pending.,150,250,500,1000,2500,2.29,2.19,2.09,1.89,1.69,C,C,C,C,C,"SILVER/BLUE, SILVER/BLACK, SILVER/RED, TRANS BLUE, TRANS ORANGE, TRANS PINK, TRANS RED, TRANS AQUA, TRANS LIME",Techno Trends,"ULADPTR, CYCLONE, CHIAMNTY_CL, PIVTLKR_CL, SLKMPNCL, RENPENC, WONMAT, TAGGEL, VIVIDPN, HLTHHND, SUNSPYLB, SWAMPJUI, TEMPRPCK, ELRYKYLT, HISTNTOT, JUPITPN, LYMBPOCK, METPBKSK, SILICOME, ULPOWBK, DBLVISN, DBLTKDS, BAYCLTOT, 24AERIAL, DRENBTL, IGGINFSR, ORBI","pinktime, mediafamily"
MEDILNGS,Media Lounger,106,"Option 1: 1/2""h x 1-3/4""w  Option 2: 1-3/4""h x 1-3/4""w.","&bull; Media lounger holds cell phone, MP3 player or other mobile device in an upright position for easy viewing.  &bull; Grip holds device in place.  &bull; Flexible mechanism for easy adjusting.  &bull; Actual size is 7-3/16""h x 2-5/16""w.  &bull; Indivi",One color imprint,Silkscreen,,,,,Individually polybagged,"1. US Patents D,666,614 and D685,366. Other patents pending.  2. Location  1 is standard imprint.",150,250,500,1000,2500,2.19,2.09,1.99,1.79,1.59,C,C,C,C,C,"SILVER/BLACK, SILVER/BLUE",Techno Trends,"MINISTKY, BCOKC, ALBCOKC, MTYBRITE, DBLWVSB, CALLCASH, SHOTABST, UNIUSB, BNDYBRT, 11CAFEMG, 16CORTMB, ALCHMYPN, CARNVPN, RIVET, UNOCUP, 14PATTMB, TEMPRPCK, ELRYKYLT, FLIPPORT, FOURPWBK, HISTNTOT, JUPITPN, LYMBPOCK, METPBKSK, NIKISTPN, ORBINF, PONZMNBG, SE","mediafamily, medmania, fallmedialounger"
MEDLNUSB,Media Lounger Charging Station,133,"Option 1: 1/2""h x 1-3/4""w  Option 2: 1-3/4""h x 1-3/4""w",Our ever popular media lounger now can be used as a charging station.    The lounger holds device in an upright position for easy viewing while charging with the power from your computer.    Grip holds device in place.    Flexible mechanism for easy adjus,One color imprint.,Silkscreen,,34,200,14L x 17W x 13H,Individually polybagged,"1. Imprint location  1 is standard.  2. If printing more than one location, please allow one day production time after art approval.",100,250,500,1000,2500,4.19,3.99,3.79,3.49,3.29,C,C,C,C,C,"SILVER/BLACK, SILVER/BLUE",Techno Trends,"FOURPWBK, FIFTPWBK, TECCHGST, NMDTRAD, USBAUTO, ADVENBPK, AEROBKSK, CLRBLKBK, FFORTCHG, CALLCASH, WTRTBPCH, FLIPPORT, BNDYBRT, WATMEDPC, DBLWVSB, SILICOME, ESQPEN, LED17FLH, LEDTORCK, FLPNCHG, 20INLET, DIXIJAR, 16FREFAC, ACTSPBTL, 24REVNEO, RETROHS, SUNSP",
MEETFOLO,Meeting Folio,151,"2-3/4""h x 6""w","Polypropylene folder with hook & loop closure.    Inside includes 5 expandable files, 4 business card pockets, pen loop and lined note pad with 30 sheets.    Actual size is 9-3/8""h x 13""w.",One color imprint.,Silkscreen,,37,40,14L x 20W x 23H,,1. We suggest using a 12pt or larger size block font ensure the best quality imprint.  2. Imprint available on flap only.,80,160,240,480,960,6.19,5.99,5.79,5.59,5.39,C,C,C,C,C,"BLUE, RED, BLACK",Workplace,"SUNSHDE, 28BLEBTL, DRAWBKSK, COLKKLR, SILIPINT, PROPITUP, CAMOFL, AUTOLNG, 6IN1, 25CONTAP, SUNSHDSQ, TCHKYCN, TRA9LED, MINWNDFL, PARKYRG, PHZRFLSH, FLSHSTK, VALETKR, WONMAT, IRWINEXE, EXERBODY, FLOS2GO, CARNVPN, CACHONPR, CACHEPN, CACHEPRO, CALIOPN, SPSTK",
MEMOCUBE,Memo Cube,162,"2""h x 2""w","Paper cube with white notepad and 5 colored sticky flags.    Large imprint area.    Matte finish.    Actual size is 3-1/8""square.",One color imprint.,Silkscreen,,14,50,17L x 7W x 7H,,,150,250,500,1000,2500,1.99,1.89,1.79,1.69,1.59,C,C,C,C,C,"WHITE, BLACK, NATURAL, NAVY",Workplace,"GFBXTMB, SLICKCLR, ORBTRNL, MESNGBRA, STRAWSTP, TEMPOPN, QUADCANV, ZIPCOOL, GAMEBLKT, RTRMDLNG, KICKSTND, PICNIC, DBLVISN, RIVET, CATLINEX, CRESTJR, CRSCALJR, LCLRJR, LCURVEJR, CERENJR, CRSCALEX, CRESTEX, CAMOKLR, SHOEBAG, CAMOKONE, SUNTOT, TCHKYCN, COLKE",back2school
MESNGBRA,Messenger Laser Engraved Bracelets,248,"3/8""h x 3-1/2""w","Imprint laser engraved into bracelet.    1/2"" wide.",Laser engraved imprint on one side.,Laser Engraved,,,,,,"1. 7 day production time after art approval.  2. Less than 1st column quantity is not available.  3. Adult size is 8"".  4. Ships FOB Texas.  5. The color of the bracelet will fade over time, and excessive hand washing, perspiration and lotion application ",100,250,500,1000,2500,2.49,2.29,1.99,1.59,1.39,C,C,C,C,C,"NAVY BLUE/WHITE, BROWN/WHITE, YELLOW/FOREST GREEN, YELLOW/RED, WHITE/ORANGE, CORAL PINK/WHITE, PINK/WHITE, WHITE/LIGHTBLUE, YELLOW/PURPLE, WHITE/NAVY BLUE, WHITE/KELLY GREEN, WHITE/ROYAL BLUE, YELLOW/BLACK, WHITE/BLACK, BLACK/ORANGE, WHITE/RED, WHITE/PINK",Lifestyles,"PARAPN, CRVGRPBL, GETFITDF, ELLSWORT, SHARKMCL, HATTRKBO, WRIONCLP_CL, FLDGOBG_CL, MGNTCLDP, QUADCLPN_CL, SUPCHP, RTBADG, CLPSFSTB_CL, CTYCLRKT, USBMTLKR, CARAKEY6_CL, SPRGRBR_CL, EYESGTST, FRVWPENC_CL, WRITEBOX_CL, VELOSTPN, SILVHIGH, QUASAR, LNZSTPN, BE",tangerinetango
MESURCUP,Measuring Cups,242,"1/2""h x 5/8""w","Set of four measuring cups.    1/4 cup, 1/3 cup, 1/2 cup and 1 cup.    Individually polybagged.",One color imprint.,Silkscreen,,18,144,18L x 21W x 12H,Individually polybagged.,,250,500,1000,1500,2500,1.89,1.79,1.65,1.59,1.49,C,C,C,C,C,WHITE,Lifestyles,"NTROBKSK, WRPITUP, ZGZGBKSK, GSDAYTRP, STRAWGLT, STCROPNW, YORKPEN, CARLEYCL, CARLEYPN, YORKPNM, CLENFTBT, CRSCALEX, LCLREX, CRSCALJR, HANSPRAY, RETRAKYR, PARAPN, CALIPEN, CANOODPN, 24REVOTL, CLPSAFLS, SNGLSCPM, CSTCK, SHOWTOTE, CLRFILE, MTYBRITE, COMMTOT",
MESURSPN,Measuring Spoons,242,"1/2""h x 5/8""w","Set of four measuring spoons.    1/4 teaspoon, 1/2 teaspoon, 1 teaspoon and 1 tablespoon.    Individually polybagged.",One color imprint.,Silkscreen,,22,500,18L x 17W x 14H,Individually polybagged.,,250,500,1000,1500,2500,1.45,1.35,1.29,1.19,1.09,C,C,C,C,C,WHITE,Lifestyles,"DIVAPN, HLTHHND, CATLINEX, CARLEYCL, HANSPRAY, DBLVISN, CRESTJR, GSRVTQSR, CALKTC, MINWNDFL, CLPCPHAN, CLENFTBT, CERENJR, TOGOTMB, CLPSAFLS, HEARTRE, CAMOFL, CLRBLKBK, GSHOPKATH, VWINOPN, MESURCUP, SMPLCKSC, SHOWTOTE, RETAPE, CYCLONE, HANLOTON, CARRYCLR, ",
METPBKSK,Metropolis Backsack,176,"6""h x 6""w","Drawstring backsack in 210D polyester features two outside pockets.     Smaller pocket has a secure flap closure to hold a cell phone or other media device measuring no larger than 5-1/2""h x 3-1/2""w.     Larger pocket measures 10""h x 9""w. Actual size is 1",One color imprint.,Silkscreen,,25,200,13L x 19W x 18H,,We recommend white or metallic imprints on black bags.,150,250,500,1000,2500,3.59,3.49,3.29,3.09,2.99,C,C,C,C,C,"Black, Blue, Green, Red",Bags,"18HYFLAT, PNCFLBTL, FLPNCHG, WATMEDPC, WILDBKSK, REEFBKSK, KCMSHBK, CAMOBKSK, CLRNBKSK, DBLSQBPK, DBLTKDS, HYDRAPK, JETBKSK, PEAKBKSK, RIVALBKS, ZGZGBKSK, WEBTOTE, BARBRTLT, BAYCLTOT, BIGISTPN, CAPRSTPN, CLRTOTBG, DESINTMB, DIAMTMB, DRENBTL, FITNFAB, HIST",
METROBK,Metro Backsack,183,"6""h x 9""w.","210D Polyester with nylon accent panel.    Zip exterior pocket.    Drawstring construction.    Actual size is 16-1/2""h x 14""w.",One color imprint.,Silkscreen,,33,200,20L x 12W x 18H,Bulk,,150,250,500,1000,2500,3.99,3.79,3.69,3.49,3.39,C,C,C,C,C,"BLACK & RED, BLACK & ROYAL, BLACK & SILVER, BLACK & PURPLE, BLACK & MAROON, BLACK & KELLY GREEN, BLACK & NAVY BLUE",Bags,"VALETKR, THMGOB25, THMGOBTL, 25QUEST_CL, STRAWCQ_CL, YOGCLKT, PLANEWLM_CL, EVERYSHP_CL, XXLRECGY_CL, VISTSLNG, WILSNGLS, UNIUSB, YOGABLK, NMDTRAD, TECHMSE_CL, PLAPKLAM_CL, SHOPTOTE_CL, EXECBAND, CARRYCLR, SILILID_CL, 22GRPNGO, FLEXRULE, PULSEJR_CL, TAGTOG","sports, school, bags, backsack, camping, polyester, nylon, mesh, beach, colorsurge, gymbag, gym, drawstring, pocket, tote, zip, zipper, zippered"
METROBK_CL,Metro Backsack - Closeout,,"6""h x 9""w.","Zip exterior pocket.    Drawstring construction.    210D Polyester with nylon accent panel.    Actual size is 16-1/2""h x 14& 148;w.",One color imprint.,Silkscreen,,,,,Bulk,,,,,,,,,,,,,,,,,PINK,Bags,"RETRAKYR, TIDYUPKC, VALETKR, WRPITUP, EARMEDIA, HSEKYHLD, SILBRACS, SILBRACP, WHSKLT, THMGOB25, BTLCAD, THMGOBTL, SHAKITUP, LEDLTBOK, NEOFLAT, 25QUEST_CL, SPECSBTL, STRAWCQ_CL, SMOOTHMV, YOGCLKT, PLANEWLM_CL, REGRTOT, WIPEOUT, EVERYSHP_CL, COMMTOT, XXLREC",
MGLFBATH_CL,Mini Golf Bag Kit - Closeout,,"Mini Golf Bag: 1""h x 1-1/4""w       Golf Balls: 7/8"" diameter       2-3/4"" Golf Tees: 7/16""h x 1-3/8""w","Kit includes Mini Golf Bag contains three Authoritee  golf balls and five 2-3/4"" Golf Tees.    Metal carabiner clips to golf bag.    Mini Golf Bag also available separately as  GOLFBG.","One color imprint on each item in the pack, 1-4 color imprint on one pole of the golf balls.",Silkscreen,,,,,,1. Carabiner not intended for climbing.    2. This item requires an additional 2 day production time.    3. PMS color match not available.    4. Less than 1st column quantity not available.    5. Golf ball imprint will not be at exact polar opposite sides,,,,,,,,,,,,,,,,,Lifestyles,"RDTRPPR, TRADEBDG, FNTLBL, FOOTBL3, TOOLARND, MINIDESK, MNLNTRL, USBCHRM, OVLTROPN, OVLTROPT, HYLANDPF, LIPBALM, PROPITUP, FXHEADPH, SPHRLTOP_CL, MANI2GO_CL, JAVAMUG_CL, TRINJR_CL, TRINEXC_CL, CERENJR, CATLINEX, NVLATBJR, SAWYRSLV, NVLATBCS, CANUSAVE, CRK",
