Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-3208, 	125 ,C,1.25,
SM-3209, 	125 ,C,1.07,
SM-3213, 	125 ,C,1.16,
SM-3215, 	100 ,C,1.25,
SM-3218, 	50 ,C,2.66,
SM-3228, 	125 ,C,1.34,
SM-3231, 	50 ,C,3.14,
SM-3233, 	50 ,C,2.60,
SM-3234, 	162 ,C,0.80,
SM-3235, 	150 ,C,0.80,
SM-3237, 	250 ,C,0.44,
SM-3239, 	212 ,C,0.62,
SM-3242, 	100 ,C,1.25,
SM-3246, 	75 ,C,1.97,
SM-3247, 	50 ,C,4.04,
SM-3250, 	75 ,C,2.06,
SM-3259, 	187 ,C,0.71,
SM-3261, 	50 ,C,3.59,
SM-3263, 	100 ,C,0.98,
SM-3266, 	250 ,C,0.59,
SM-3267, 	150 ,C,0.86,
SM-3272, 	50 ,C,3.14,
SM-3273, 	162 ,C,0.80,
SM-3275, 	100 ,C,1.34,
SM-3277, 	150 ,C,0.89,
SM-3278, 	175 ,C,0.89,
SM-3283, 	50 ,C,3.14,
SM-3288, 	10 ,C,17.99,
SM-3302, 	50 ,C,4.49,
SM-3303, 	100 ,C,1.34,
SM-3305, 	25 ,C,6.74,
SM-3309, 	25 ,C,5.21,
SM-3310, 	25 ,C,5.39,
SM-3311, 	50 ,C,3.59,
SM-3320, 	100 ,C,1.22,
SM-3321, 	25 ,C,6.29,
SM-3322, 	75 ,C,1.61,
SM-3332, 	75 ,C,1.79,
SM-3345, 	150 ,C,0.71,
SM-3346, 	150 ,C,0.89,
SM-3347, 	150 ,C,0.80,
SM-3351, 	150 ,C,0.77,
SM-3353, 	150 ,C,0.80,
SM-3354, 	150 ,C,0.89,
SM-3355, 	150 ,C,0.89,
SM-3356, 	150 ,C,0.89,
SM-3357, 	150 ,C,0.89,
SM-3368, 	25 ,C,5.39,
SM-3371, 	12 ,C,8.99,
SM-3376, 	150 ,C,0.87,
SM-3379, 	150 ,C,0.80,
SM-3380, 	125 ,C,1.07,
SM-3381, 	100 ,C,1.52,
SM-3382, 	150 ,C,0.89,
SM-3384, 	150 ,C,0.89,
SM-3386, 	150 ,C,0.80,
SM-3387, 	150 ,C,0.80,
SM-3388, 	150 ,C,0.80,
SM-3389, 	150 ,C,0.80,
SM-3390, 	100 ,C,1.34,
SM-3391, 	112 ,C,1.16,
