SKU,Product Line,Name,Item Color,Description,Features,Finish / Material,IsAdvantage24,Categories,Decoration Methods,Item Size,Decoration Height,Decoration Width,LessThanMin1Qty,LessThanMin1Charge,PricePoint1Qty,PricePoint1Price,PricePoint1Code,PricePoint2Qty,PricePoint2Price,PricePoint2Code,PricePoint3Qty,PricePoint3Price,PricePoint3Code,PricePoint4Qty,PricePoint4Price,PricePoint4Code,PricePoint5Qty,PricePoint5Price,PricePoint5Code,PricePoint6Qty,PricePoint6Price,PricePoint6Code,End Column Price,Catalog Page,Box Weight,Quantity Per Box,Box Length,Paper Insert Initial Setup,Paper Insert Repeat Setup,Production Time,ProductID
GR4308B,Valumark,,Black,12-Can Cooler,"12-can capacity cooler with PEVA heat sealed lining, durable 600D outer material, zippered closure and 1 1/4"" x 38 1/2"" adjustable shoulder strap. Hide-away dual cup holder with hook and loop closure opens to hold 2 drinks.","PEVA Lining, 600D Poly",YES,Coolers,"Print, Print",10 1/4 W x 7 5/8 H x 5 5/8 D,6,3,25,25,50,10.21,c,100,9.9,c,250,9.58,c,500,9.27,c,1000,8.95,c,0,0,c,8.95,VM_94,27,40,29,0,0,5-7 Working Days,5965
GR4308N,Valumark,,Blue,12-Can Cooler,"12-can capacity cooler with PEVA heat sealed lining, durable 600D outer material, zippered closure and 1 1/4"" x 38 1/2"" adjustable shoulder strap. Hide-away dual cup holder with hook and loop closure opens to hold 2 drinks.","PEVA Lining, 600D Poly",YES,Coolers,"Print, Print",10 1/4 W x 7 5/8 H x 5 5/8 D,6,3,25,25,50,10.21,c,100,9.9,c,250,9.58,c,500,9.27,c,1000,8.95,c,0,0,c,8.95,VM_94,27,40,29,0,0,5-7 Working Days,5965
GR4308R,Valumark,,Red,12-Can Cooler,"12-can capacity cooler with PEVA heat sealed lining, durable 600D outer material, zippered closure and 1 1/4"" x 38 1/2"" adjustable shoulder strap. Hide-away dual cup holder with hook and loop closure opens to hold 2 drinks.","PEVA Lining, 600D Poly",YES,Coolers,"Print, Print",10 1/4 W x 7 5/8 H x 5 5/8 D,6,3,25,25,50,10.21,c,100,9.9,c,250,9.58,c,500,9.27,c,1000,8.95,c,0,0,c,8.95,VM_94,27,40,29,0,0,5-7 Working Days,5965
GR4309B,Giftcor,,Black,6-Can Cooler,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a carry strap.","PEVA Lining, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,3/1/2002,2,50,25,100,6.45,c,250,5.95,c,500,5.45,c,1000,4.95,c,0,0,c,0,0,c,4.95,LM_240,8,40,13.78,0,0,5-7 Working Days,6135
GR4309G,Giftcor,,Lime,6-Can Cooler,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a carry strap.","PEVA Lining, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,3/1/2002,2,50,25,100,6.45,c,250,5.95,c,500,5.45,c,1000,4.95,c,0,0,c,0,0,c,4.95,LM_240,8,40,13.78,0,0,5-7 Working Days,6135
GR4309N,Giftcor,,Blue,6-Can Cooler,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a carry strap.","PEVA Lining, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,3/1/2002,2,50,25,100,6.45,c,250,5.95,c,500,5.45,c,1000,4.95,c,0,0,c,0,0,c,4.95,LM_240,8,40,13.78,0,0,5-7 Working Days,6135
GR4309R,Giftcor,,Red,6-Can Cooler,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a carry strap.","PEVA Lining, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,3/1/2002,2,50,25,100,6.45,c,250,5.95,c,500,5.45,c,1000,4.95,c,0,0,c,0,0,c,4.95,LM_240,8,40,13.78,0,0,5-7 Working Days,6135
GR4309T,Giftcor,,Orange,6-Can Cooler,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a carry strap.","PEVA Lining, 210D Poly",YES,"Picnic, Coolers",Print,9 1/4 W x 7 H x 5 3/4 D,3/1/2002,2,50,25,100,6.45,c,250,5.95,c,500,5.45,c,1000,4.95,c,0,0,c,0,0,c,4.95,LM_240,8,40,13.78,0,0,5-7 Working Days,6135
GR4310B,Valumark,,Black,6-Can Cooler / Lunch Bag,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a 1"" x 35"" adjustable carry strap.","210D Poly, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,8 W x 7 H x 5 D,4,3,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,9,50,16.14,0,0,5-7 Working Days,6319
GR4310L,Valumark,,Light Blue,6-Can Cooler / Lunch Bag,"6-can capacity cooler / lunch bag is made from lightweight 210D material. It features an insulated zippered main compartment with PEVA lining and foam padding, a front pocket with mesh sides and a 1"" x 35"" adjustable carry strap.","210D Poly, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,8 W x 7 H x 5 D,4,3,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,9,50,16.14,0,0,5-7 Working Days,6319
