SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
8309,Camo Mesh Convoy Cap,Image Lock,48,96,144,576,1008,7.99,7.68,7.28,7.08,6.88,C,C,C,C,C
8309,Camo Mesh Convoy Cap,Embroidery,48,96,144,576,1008,10.09,9.98,9.78,9.58,9.38,C,C,C,C,C
8309,Camo Mesh Convoy Cap,Vivid Expressions,100,144,576,1008,,8.68,8.28,8.08,7.88,,C,C,C,C,
8309,Camo Mesh Convoy Cap,Blank,24,96,144,576,1008,6.48,6.32,6.17,6,5.87,C,C,C,C,C
8311,Camo Knit Cap,Image Lock,48,96,144,576,1008,9.28,8.88,8.48,8.28,8.08,C,C,C,C,C
8311,Camo Knit Cap,Embroidery,48,96,144,576,1008,11.38,11.18,10.98,10.78,10.58,C,C,C,C,C
8311,Camo Knit Cap,Vivid Expressions,100,144,576,1008,,9.88,9.48,9.28,9.08,,C,C,C,C,
8311,Camo Knit Cap,Blank,24,96,144,576,1008,7.78,7.52,7.37,7.23,7.07,C,C,C,C,C
8326,Ladies& 39; Frayed Camo Cap,Image Lock,48,96,144,576,1008,9.78,9.38,8.98,8.78,8.58,C,C,C,C,C
8326,Ladies& 39; Frayed Camo Cap,Embroidery,48,48,48,96,96,11.88,11.88,11.88,11.68,11.68,C,C,C,C,C
8326,Ladies& 39; Frayed Camo Cap,Vivid Expressions,100,144,576,576,576,10.38,9.98,9.78,9.78,9.78,C,C,C,C,C
8326,Ladies& 39; Frayed Camo Cap,Blank,24,24,24,96,96,9.78,9.78,8.22,9.38,9.38,C,C,C,C,C
8329,Camo Cap With Fray,Image Lock,48,96,144,576,1008,12.68,12.28,11.88,11.58,11.48,C,C,C,C,C
