supplier_name,imprint_method,name,display_name,pantone,hex
Garyline,Screen Print,Matte Gold,Matte Gold,873 C,#866d4b
Garyline,Screen Print,Lime Green,Lime Green,375 C,#97d700
Leed's / Leeds,Full Color,Green,Green,343 C,#00843d
Leed's / Leeds,Full Color,Blue,Blue,Blue,#0000ff
Leed's / Leeds,Full Color,Black,Black,426,#25282B
Leed's / Leeds,Full Color,Orange,Orange,PMS 021,#FF9933
Leed's / Leeds,Color Stamp,White,White,0,#FFFFFF
Leed's / Leeds,Color Stamp,Red,Red,186 C,#c8102e
Leed's / Leeds,Color Stamp,Metallic Silver,Metallic Silver,PMS 877,#999999
Leed's / Leeds,Color Stamp,Metallic Red,Metallic Red,,
Leed's / Leeds,Color Stamp,Metallic Green,Metallic Green,,
Leed's / Leeds,Color Stamp,Metallic Gold,Metallic Gold,PMS 871,#996633
Leed's / Leeds,Color Stamp,Green,Green,343 C,#00843d
Leed's / Leeds,Color Stamp,Metallic Blue,Metallic Blue,,
Leed's / Leeds,Color Stamp,Brown,Brown,476 C,#4e3629
Leed's / Leeds,Color Stamp,Blue,Blue,Blue,#0000ff
Leed's / Leeds,Color Stamp,Black,Black,426,#25282B
"Gold Bond, Inc.",Screen Print,White,White,0,#FFFFFF
"Gold Bond, Inc.",Screen Print,Reflex Blue,Reflex Blue,Reflex Blue,#001489
"Gold Bond, Inc.",Screen Print,Pink,Pink,189 C,#f8a3bc
"Gold Bond, Inc.",Screen Print,Black,Black,426,#25282B
All in One,Screen Print,Black,Black,426,#25282B
All in One,Screen Print,White,White,0,#FFFFFF
All in One,Screen Print,Brown,Brown,476 C,#4e3629
All in One,Screen Print,Dark Green,Dark Green,336 C,#00664f
All in One,Screen Print,Green,Green,343 C,#00843d
All in One,Screen Print,Light Blue,Light Blue,Light Blue,#add8e6
All in One,Screen Print,Maroon,Maroon,202 C,#862633
All in One,Screen Print,Gold,Gold,872 C,#85714d
All in One,Screen Print,Silver,Silver,877 C,#8a8d8f
All in One,Screen Print,Navy Blue,Navy Blue,281 C,#00205b
All in One,Screen Print,Orange,Orange,PMS 021,#FF9933
All in One,Screen Print,Pink,Pink,189 C,#f8a3bc
All in One,Screen Print,Purple,Purple,259 C,#6d2077
All in One,Screen Print,Red,Red,186 C,#c8102e
All in One,Screen Print,Royal Blue,Royal Blue,Reflex Blue C,#001489
All in One,Screen Print,Teal,Teal,321 C,#008c95
All in One,Screen Print,Violet,Violet,Violet C,#440099
All in One,Screen Print,Yellow,Yellow,Yellow C,#fedd00
All in One,Screen Print,Yellow Imprint,Yellow,123 C,#ffc72c
All in One,Screen Print,White Imprint,White,,
All in One,Screen Print,Violet Imprint,Violet,Violet C,#440099
All in One,Screen Print,Teal Imprint,Teal,321 C,#008c95
