dc_acct_num,dc_name,px_name,do_not_save
100054,IDJ4-PS Wire-O Binding Color,"",true
100054,IDJL Additional Foil Color,"",true
100054,IDJL Cover Imprint Color,"",true
100054,IDJL Wire-O Binding Color,"",true
100054,IDJL-PS Additional Foil Color,"",true
100054,IDJL-PS Cover Imprint Color,"",true
100054,IDJL-PS Pen Imprint Color,"",true
100054,IDJL-PS Wire-O Binding Color,"",true
100054,IMJ-PS Pen Imprint Color,"",true
100054,IMJ4 Wire-O Binding Color,"",true
100054,IMJ4-PS Pen Imprint Color,"",true
100054,IMJ4-PS Wire-O Binding Color,"",true
100054,IMJL Additional Foil Color,"",true
100054,IMJL Cover Imprint Color,"",true
100054,IMJL Wire-O Binding Color,"",true
100054,IMJL-PS Additional Foil Color,"",true
100054,IMJL-PS Cover Imprint Color,"",true
100054,IMJL-PS Pen Imprint Color,"",true
100054,IMJL-PS Wire-O Binding Color,"",true
100054,Impression Covers Impression Cover Choices,"",true
100054,JJ1-PS Pen Imprint Color,"",true
100054,JJ1AD-PS Pen Imprint Color,"",true
100054,JJ1E-PS Pen Imprint Color,"",true
100054,JJ1G-PS Logo on Each Sheet,"",true
100054,JJ1G-PS Pen Imprint Color,"",true
100054,JJ1R4-PS Pen Imprint Color,"",true
100054,JJ1S-PS Pen Imprint Color,"",true
100054,JJ1WD Wire-O Binding Color,"",true
100054,JJ1WD-PS Pen Imprint Color,"",true
100054,JJ2-PS Pen Imprint Color,"",true
100054,JJ2B-PS Pen Imprint Color,"",true
100054,JJ2E-PS Pen Imprint Color,"",true
100054,JJ2G-PS Logo on Each Sheet,"",true
100054,JJ2I-PS Pen Imprint Color,"",true
100054,JJ2N-PS Pen Imprint Color,"",true
100054,JJ2R4-PS Pen Imprint Color,"",true
100054,JJ2S-PS Pen Imprint Color,"",true
100054,JJ2V-PS Pen Imprint Color,"",true
100054,JJ2W-PS Pen Imprint Color,"",true
100054,LC1 Cover Imprint with Bleed - Set Up,"",true
100054,LC1 Cover Ink Color,"",true
100054,LC2 Cover Imprint with Bleed - Set Up,"",true
100054,LC2 Cover Ink Color,"",true
100054,LN1 Cover Imprint with Bleed - Set Up,"",true
100054,LN1 Cover Ink Color,"",true
100054,LN1 Logo on Each Sheet Ink Color,"",true
100054,LN14 Logo on Each Sheet Ink Color,"",true
100054,LN1F Logo on Each Sheet Ink Color,"",true
100054,LN1P Back Cover,"",true
100054,LN1P Logo on Each Sheet Ink Color,"",true
100054,LP1 Header Ink Color,"",true
100054,LP2 Header Ink Color,"",true
100054,LPL5 2nd Ink Color - Run Charge,"",true
100054,LPL5 2nd Ink Color,"",true
100054,LPL5 Cover Imprint Bleeds,"",true
100054,LPL5 Cover Ink Color,"",true
100054,LPL5 Header Ink Color,"",true
100054,LPL5 Imprinted Header,"",true
100054,LPL5 Imprinted Sheets - Ink Color,"",true
100054,LPL5 Pastel Sheets,"",true
100054,LPL8 Cover Imprint Bleeds,"",true
100054,LPL8 Cover Ink Color,"",true
100054,LPL8 Header Ink Color,"",true
100054,LPL8 Imprinted Header,"",true
100054,LPL8 Pastel Sheets,"",true
100054,LPL84 Imprinted Header - Four Color Process,"",true
100054,LPL8E Imprinted Sheets - Set Up,"",true
100054,LPL8E Imprinted Sheets Ink Color,"",true
100054,Linen Covers,"",true
100054,Logo on Each Sheet,"",true
100054,M1 Additional Foil Color,"",true
100054,M1 Cover Imprint Color,"",true
100054,M1-PS Additional Foil Color,"",true
100054,M1-PS Cover Imprint Color,"",true
100054,M1-PS Pen Imprint Color,"",true
100054,M2 Additional Foil Color,"",true
100054,M2 Cover Imprint Color,"",true
100054,MJ1-PS Pen Imprint Color,"",true
100054,MJ1E-PS Pen Imprint Color,"",true
100054,MJ1G-PS Logo on Each Sheet,"",true
100054,MJ1G-PS Pen Imprint Color,"",true
100054,MJ1R4-PS Pen Imprint Color,"",true
100054,MJ1S-PS Pen Imprint Color,"",true
100054,MJ2-PS Pen Imprint Color,"",true
100054,MJ2E-PS Pen Imprint Color,"",true
100054,MJ2G-PS Pen Imprint Color,"",true
100054,MJ2R4-PS Pen Imprint Color,"",true
100054,MJ2S-PS Pen Imprint Color,"",true
100054,MP1 2nd Ink Color,"",true
100054,MP1 Imprint bleeds or has excessive ink coverage,"",true
100054,MP1 Ink Color,"",true
100054,MP2 2nd Ink Color,"",true
100054,MP2 3rd Ink Color-Select Color,"",true
100054,MP2 Imprint bleeds or has excessive ink coverage,"",true
100054,MP2 Ink Color,"",true
100054,NDP-25 2nd Ink Color,"",true
100054,NDP-25 3rd Ink Color-Select Color,"",true
100054,NDP-25 4th Ink Color-Select Color,"",true
100054,NDP-25 Ink Color,"",true
100054,NDP-40 2nd Ink Color,"",true
100054,NDP-40 3rd Ink Color-Select Color,"",true
100054,NDP-40 4th Ink Color-Select Color,"",true
100054,NDP-40 Ink Color,"",true
100054,NDP-50 2nd Ink Color,"",true
100054,NDP-50 3rd Ink Color-Select Color,"",true
100054,NDP-50 4th Ink Color-Select Color,"",true
100054,NDP-50 Ink Color,"",true
100054,NJ1-PS Pen Imprint Color,"",true
100054,NJ1E-PS Pen Imprint Color,"",true
100054,NJ1G-PS Logo on Each Sheet,"",true
100054,NJ1G-PS Pen Imprint Color,"",true
100054,NJ1R4-PS Pen Imprint Color,"",true
100054,NJ1S-PS Pen Imprint Color,"",true
100054,NJ2-PS Pen Imprint Color,"",true
100054,NJ2E-PS Pen Imprint Color,"",true
100054,NJ2G-PS Pen Imprint Color,"",true
100054,NJ2R4-PS Pen Imprint Color,"",true
100054,NJ2S-PS Pen Imprint Color,"",true
100054,NK1 Additional Foil Color,"",true
100054,NK1 Cover Imprint Color,"",true
100054,NK1 Lanyard Inserted in Book,"",true
100054,NK2 Additional Foil Color,"",true
100054,NK2 Cover Imprint Color,"",true
100054,NK2 Lanyard Inserted in Book,"",true
100054,NK2 Pen Imprint Color,"",true
100054,PP1-100 Imprint bleeds or has excessive ink coverage,"",true
100054,PP1-100 Ink Color,"",true
100054,PP1-25 Imprint bleeds or has excessive ink coverage,"",true
100054,PP1-25 Ink Color,"",true
100054,PP1-25 Magnet,"",true
100054,PP1-50 Imprint bleeds or has excessive ink coverage,"",true
100054,PP1-50 Ink Color,"",true
100054,PP1-50 Magnet,"",true
