name,pantone,hex,display_name
Green 355,,,
Red 185,,,
Blue 300,,,
PMS 4625,,,
PMS Violet C,,,
PMS 208,,,
PMS 185,,,
PMS 347,,,
PMS 3435,,,
PMS 327,,,
PMS 280,,,
PMS 165,,,
PMS 108,,,
PMS 430,,,
PMS 485,,,
PMS 376,,,
PMS 361,,,
PMS 341,,,
PMS 320,,,
PMS 300,,,
PMS 293,,,
PMS 285,,,
PMS 284,,,
PMS 2738,,,
PMS 2577,,,
PMS 225,,,
PMS 215,,,
PMS 205,,,
PMS 202,,,
PMS 1795,,,
PMS 123,,,
PMS 072,,,
Burgundy (PMS 208),208 C,#861f41,Burgundy
Dark Blue,289 C,#0c2340,Dark Blue
Yellow,Yellow C,#fedd00,Yellow
Process Blue,Process Blue,#0085ca,Process Blue
Basketball Orange (PMS 158),158 C,#e87722,Orange
Reflex Blue,Reflex Blue,#001489,Reflex Blue
Yellow Imprint,123 C,#ffc72c,Yellow
Violet Imprint,Violet C,#440099,Violet
Red Imprint,186 C,#c8102e,Red
Orange Imprint,172 C,#fa4616,Orange
Metallic Gold Imprint,,,Metallic Gold
Green Imprint,347 C,#009a44,Green
Brown,476 C,#4e3629,Brown
Solid White,,,White
Metallic Gold,PMS 871,#996633,Metallic Gold
