Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
20DWREV,20oz. Double Wall Revolution Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
20DWREV_CL,20oz. Double Wall Revolution Tumbler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20FLATFL,20oz. Flat Foldable Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20FRSTBB,20oz. Sport Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20FRSTBB,20oz. Sport Bottle,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
20INLET,20oz. Inlet Bottle - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20NEONSS_CL,20oz. Neon Super Sipper - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20STD2GO,20oz. Stadium 2 Go,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20STD2GO,20oz. Stadium 2 Go,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
20STD2GO,20oz. Stadium 2 Go,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
20TINTBB,20oz. Sport Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
22FREDOM,22oz. Freedom Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
22FREDOM,22oz. Freedom Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
22FREDOM,22oz. Freedom Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
22FREDOM,22oz. Freedom Tumbler,Multi Color Run Charge  Per Color ,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
22FREDOM_CL,22oz. Freedom Tumbler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
